Speed,Acceleration,EngineRevolution,Accelerator,Clutch,Brake,Steering,Switches,Gear,WheelSlip,DistanceToCenterOfLane,PX,PY,PZ,category,output
26.92011813,0.138374542,220.2179582,0.419138798,0.99359277,0,-0.026298024,0,5,0,2.299022403,-595.3507637,2171.663238,-0.000213849,500Y,1
31.2980516,-0.08933879,256.0993155,0.202471056,0.981701661,0.008769632,-0.038279573,0,5,0,2.753036773,-605.4368683,2183.102206,-0.000154211,500Y,1
24.81897644,-0.097181362,203.0908212,0.036049953,1,0,-0.02019632,0,5,0,2.471967833,-609.2838789,2186.325156,-0.000170293,500Y,1
24.99282821,0.02447189,295.3600826,0.133889174,1,0.00751358,-0.021328594,0,4,0,2.817625831,-597.2368566,2176.597512,-0.000161443,500Y,0
25.73810621,0.289311736,304.0637798,0.279215616,0.996207081,0,-0.024604714,0,4,0,2.291648885,-579.9293404,2163.10935,-0.000174588,500Y,0
25.24847116,0.06230947,298.3665856,0.126078975,0.999945526,0,-0.018644327,0,4,0,2.159791486,-2083.12126,1791.089001,-0.002710686,500Y,0
27.90035394,-0.014712408,228.2796225,0.228156046,0.998981598,0.012747424,-0.024951209,0,5,0,5.8906204,-599.6307361,2172.877781,-0.000126183,500Y,0
22.59010987,-0.007698541,184.8302884,0.227475365,0.999350215,0.019102747,-0.018547305,0,5,0,2.516738197,-587.8956052,2167.946815,-0.000171674,500Y,0
22.04316319,-0.064627681,180.3707529,0.033638859,0.999224943,0,-0.014947985,0,5,0,2.15826616,-2096.667278,1805.4933,-0.002844106,500Y,0
31.27482649,-0.202336324,255.9398119,0.028453405,0.999800649,8.89E-05,-0.027286973,0,5,0,2.33787027,-2100.839427,1809.018724,-0.002908108,500Y,0
25.1058225,0.029257769,296.6936282,0.11886082,0.999723928,0.005335844,-0.020877302,0,4,0,2.358808389,-595.5996854,2174.391621,-0.000171592,500Y,0
7.600083042,-0.053764806,98.58633133,0.112352126,0.639967493,0.002429637,0.312794673,0,2.305243934,0,2.099634751,-2179.723159,1843.815142,-0.007315419,500Y,0
28.92593978,0.015968155,236.6624177,0.177601389,0.999910417,0,-0.02253373,0,5,0,2.919434524,-2088.660962,1795.5663,-0.00265873,500Y,0
23.21390053,-0.04123015,189.9431494,0.064518126,0.997874801,0,-0.018032546,0,5,0,2.379407604,-604.0455968,2181.986172,-0.000176835,500Y,0
15.94720747,-0.191803552,217.6787098,0.197218663,0.81705304,0.002435581,-0.011750391,0,3.284166165,0,2.469259482,-665.339416,2264.284564,-0.000120409,500Y,0
23.2931267,0.043194341,275.2654412,0.124045977,0.997697613,0.00419328,-0.018946348,0,4,0,2.134880637,-595.6950928,2177.178232,-0.000167993,500Y,0
26.70980783,-0.147218718,218.5749217,0.012340692,0.999011292,0,-0.020938301,0,5,0,2.861057986,-610.3916887,2187.49762,-0.00017294,500Y,0
26.29151579,0.053283213,310.6971913,0.139736913,0.992297112,0,-0.021310262,0,4,0,2.819232852,-2085.00787,1794.080027,-0.002590253,500Y,0
21.82424652,0.078171275,257.8921151,0.162314487,0.9991125,0.010419868,-0.018137127,0,4,0,2.122996689,-583.6925828,2165.609321,-0.000173841,500Y,0
17.92173659,-0.016865324,228.1019706,0.029732491,0.994892423,0,-0.014064887,0,3,0,2.382757679,-607.4249283,2184.867522,-0.0001843,500Y,0
25.31975091,0.143486507,207.1224536,0.35304689,0.993367943,0.010705933,-0.023232526,0,5,0,2.263645933,-583.4611483,2165.273263,-0.000172249,500Y,0
22.53171584,-0.063650388,266.308955,0.03549837,0.996341615,0,-0.015549371,0,4,0,3.064254658,-2098.159332,1806.392531,-0.002771739,500Y,0
20.85015008,-0.080286566,170.6140342,0.014666137,0.99091725,0,-0.01624969,0,5,0,2.609109698,-608.7135135,2186.144785,-0.000166932,500Y,0
25.3372796,0.052434167,299.4206468,0.16275871,0.962981328,0.013841771,-0.021833985,0,4,0,2.641241578,-592.9169105,2172.378065,-0.000173244,500Y,0
24.15235178,0.03904721,285.4214748,0.131435956,0.959419213,0.000925984,-0.020512919,0,4,0,2.975882891,-597.5415005,2179.415929,-0.000155535,500Y,0
24.42181936,0.038167709,288.6062189,0.151784193,0.992327388,0.005720034,0.019545934,0,4,0,3.234133559,1588.287126,2789.326205,-0.01,500Z,1
28.40616564,0.403181574,335.5507716,0.405005086,0.993804894,0.000879367,0.031431699,0,4,0,3.455316699,-2804.035883,5868.983589,0,500Z,1
23.4727184,0.036529621,405.4167283,0.10729842,0.962662243,0,0.018631548,0,2,0,2.971437599,1505.595261,190.6442022,-0.009944708,500Z,1
23.26742573,0.05815541,274.9557403,0.153135626,0.961634699,0,0.016234706,0,4,0,2.810123648,4032.122844,3864.812743,-0.009822257,500Z,1
23.23823175,0.04553254,190.1187246,0.193415635,0.999979048,0.005549127,0.018882889,0,5,0,3.403380952,-2785.670857,5884.943984,0,500Z,1
23.1127564,0.161100388,189.0604119,0.293196199,0.995667261,0.006781303,0.017515547,0,5,0,3.029875873,1491.945764,177.1631575,-0.009875873,500Z,1
27.53461059,0.047060091,225.2703735,0.307027397,0.99573242,0.016949224,0.022523954,0,5,0,3.309406393,4041.703863,3854.557388,-0.009214612,500Z,1
23.42670794,0.026802915,191.6685474,0.155537004,0.993394818,0,0.016898146,0,5,0,2.474032389,1595.925466,2783.347619,-0.01,500Z,1
27.81966961,0.398374074,227.5068148,0.734953371,0.991588984,0,0.034103115,0,5,0,2.929287749,1568.112469,2809.243067,-0.01,500Z,1
27.84920826,-0.039549858,329.1425062,0.359253276,0.990843495,0.100068091,0.027884406,0,4,0,3.407283951,-2787.968234,5880.266838,0,500Z,1
25.6698126,0.006320231,210.0238483,0.279429281,0.998040728,0.019404614,0.020779849,0,5,0,3.185199645,1581.811154,2792.728997,-0.01,500Z,1
29.75079067,0.290974876,347.84786,0.333687984,0.949456604,0.003681231,0.031057368,0,3.886792453,0,3.116603774,1493.907031,179.6656207,-0.009831182,500Z,1
26.12471895,0.219594315,312.0789578,0.408344186,0.858666581,0.035838587,0.02853739,0,3.484065461,0,3.100628768,4064.333936,3830.578493,-0.009543497,500Z,1
20.66367045,-0.023250437,169.0725932,0.057426929,0.982554294,0,0.014437504,0,5,0,2.900938865,1597.567285,2779.020124,-0.01,500Z,1
30.20021985,0.217029106,247.0341736,0.442306445,0.999919854,0,0.030728909,0,5,0,4.027640333,1581.10816,2795.977765,-0.01,500Z,1
32.98581162,0.099109909,389.7932574,0.237513098,0.999284624,0,0.032972722,0,4,0,5.186492027,1589.449157,2788.680376,-0.01,500Z,1
21.1426583,-0.090648605,173.0100514,0.154249706,0.995406975,0.022757269,0.01554707,0,5,0,3.214603524,1585.281894,2787.5771,-0.01,500Z,1
27.75228937,0.339873754,286.3037883,0.443244591,0.95389492,0,0.030242286,0,4.2144873,0,4.948062088,-2802.572164,5873.238721,0,500Z,1
22.17766071,-0.077046056,282.2937791,0.022904733,0.999978813,0,0.014734455,0,3,0,3.841209617,1522.087761,207.1165214,-0.009767092,500Z,1
22.04613897,-0.009823897,280.5913912,0.058741544,0.999994118,0,0.015075596,0,3,0,3.394926471,4028.788691,3865.313463,-0.009095588,500Z,1
22.29525725,-0.12162662,187.6986296,0.307050694,0.924053858,0.038896605,0.017659684,0,5,0,2.546095679,1580.993272,2795.583071,-0.01,500Z,1
19.54322147,-0.022861685,159.9051855,0.049888587,0.994031386,0,0.013776121,0,5,0,2.976902174,1597.237154,2778.619579,-0.01,500Z,1
28.27452004,0.076131183,231.31626,0.225932454,0.981308113,0,0.023070596,0,5,0,3.519560117,1589.577019,2787.139394,-0.01,500Z,1
29.03802465,-0.063358617,237.6011132,0.257281663,1,0.010423146,0.025862766,0,5,0,2.593577154,1588.055721,2787.688377,-0.01,500Z,1
